experiment_id,platforms,note
bow_exp3_joint,macos|macos_p3repro|wsl,"RESOLVED 2026-07-19 (root cause found): NOT a platform difference and NOT an in-framework deletion. The macos_p3repro Jul-16 run was killed mid-flight by a CONCURRENT helper script: regen_swe_finaleval.py (repro-root, regenerates SWE-inclusive final evaluation) instantiated a second SUMMA optimizer from the same config_joint.yaml â€” whose __init__ stages into the SAME run_nsga-ii/process_0 tree (parallel dirs are keyed only by domain+algorithm, no run-scoped uniqueness) â€” and its optimizer.cleanup() rmtree'd process_0/settings/SUMMA + simulations/bow_exp3_joint/SUMMA at 19:24:09Z, exactly between generation 0 and 1 of the live calibration (dir mtimes + log timeline align; gen-1 task I028 found an empty sim dir, I029+ found no fileManager). The calibration then failed every evaluation for 50 generations, crash counters reported 0 (pre-#321), NSGA-II froze on the single feasible gen-0 point 0.728, and the workflow reported SUCCESS. Framework follow-ups worth filing: (1) per-process parallel dirs need run-scoped uniqueness or locking; (2) optimizer.cleanup() deletes shared state with no liveness guard. Secondary: config_joint.yaml was unseeded (fixed in #327); WSL run separately impaired (incomplete GRACE download pinning obj2 at -1.0, stale mid-run harvest since progressed 0.8323->0.8651@29). Action: rerun this cell on current develop with the #327 seeded config and no concurrent helpers."
cal_ensemble_fuse_dds,macos|macos_p3repro|wsl,"RESOLVED 2026-07-19: version skew, not a platform effect. The macos_p3repro run predated PR #319 (848f7782, align FUSE DDS parameter bounds with the other 14 algorithms; PERCRTE 0.01-10.0 -> 0.1-1000.0, BASERTE 0.001-0.5 -> 0.001-1000.0, MAXWATR_2 50-1000 -> 50-5000, QB_POWR 1-5 -> 1-10, +9 more); its 0.6935 is exactly the pre-fix plateau the PR reports. Corroborated by the WSL best_params (PERCRTE 986.49, BASERTE 930.72, MAXWATR_2 1768.5) â€” all outside the old box, so the optimum was unreachable under the narrow bounds. Post-#319 rerun on macos_p3repro (2026-07-19): 0.9096380472 @ iter 762 â€” identical to macos and within 9e-9 of WSL. Compiled-FUSE + seeded DDS is numerically reproducible across all three platforms."
cal_ensemble_hype_moead,macos|macos_p3repro,"Attributed 2026-07-19: healthy 20-generation MOEA-D run on both sides (p3repro: 20 distinct improving scores 0.296-0.593, 0 crashes); no config drift since the run (git log). Short population search over the compiled HYPE binary â€” FP-level trajectory divergence compounds across generations. Caveat: p3repro ran pre-#291/#321 crash/penalty handling; a rerun on current develop would firm this up."
cal_ensemble_sacsma_bayesian_opt,macos|macos_p3repro,Diagnosed 2026-07-19: documented expected-failure cell (04 README); the exact failure value is noise (-0.074 vs -0.145) and the REF check exp04-sacsma-bayesopt-fails passes on both platforms. No action.
cal_ensemble_sacsma_moead,macos|macos_p3repro,"Attributed 2026-07-19: same class as hype_moead â€” healthy 20-gen MOEA-D, delta 0.045, no config drift; jsacsma editable source verified at 0.2.4 fix level (daily-aggregation fixes present). Trajectory divergence of a short population search."
cal_ensemble_xinanjiang_bayesian_opt,macos|macos_p3repro,"Attributed 2026-07-19: GP-based Bayesian opt, 50 evals, delta 0.036 (tol 0.02); healthy run, snow17 params present and calibrated, no config drift. Acquisition-function decisions amplify FP-level differences; value is low-skill on both platforms (0.47 vs 0.50)."
cal_ensemble_xinanjiang_dds,macos|macos_p3repro,"RESOLVED 2026-07-19: pre-#309 run lacked snow17 (KGE 0.207, only the 13 core XAJ params in best_params); post-#309 rerun on macos_p3repro converged to 0.9051344925 @ iter 986 vs macos 0.9051344756 @ 986 â€” agreement to 1.7e-8. Seeded DDS on jax-XAJ is numerically reproducible cross-machine; entry kept for provenance."
cal_ensemble_xinanjiang_lbfgs,macos|macos_p3repro,"Attributed 2026-07-19: L-BFGS runs finite-difference gradients (per da606ef7 ADAM=AD, L-BFGS=FD); healthy 125-eval run, snow17 params present, no config drift. FD-gradient line searches on a rough surface are chaotic w.r.t. FP-level differences â€” large final spread (0.40 vs 0.80) from identical starts is consistent with the July AD-vs-FD probe findings. Multi-seed comparison would be needed to bound this properly."
forcing_ensemble_aorc,macos|wsl,"Diagnosed 2026-07-19: healthy 1000/1000-eval runs on both platforms (0 crashes; WSL calib KGE 0.733/NSE 0.748). Per-machine bitwise determinism proven; divergence attributed to FP-level accept/reject flips in the compiled SUMMA binary steering greedy DDS to different local optima (-306 vs -386, both skillful). Pending confirmation via Mac iteration-0 default-params score (WSL: -839.4737119381022) and forcing sha256 57e47e3343f462d484c7a163f1a70d05d350eae1d43ee50c4a1e4ee1caa8e8cd. Raw optimizer best-scores are not a valid cross-platform equivalence metric for stochastic search; compare skill metrics or multi-seed distributions."
forcing_ensemble_rdrs,macos|macos_p3repro,"Diagnosed 2026-07-19: same class as forcing_ensemble_aorc â€” both platforms ran healthy 1000/1000-eval DDS (0 crashes, best at eval 965 vs 971); RMSE -202.9 vs -208.6 is 2.75% relative, marginally over the 2% band. FP-level accept/reject flips in compiled SUMMA steer greedy DDS to different local optima; raw best-scores are not a cross-platform equivalence metric."
cal_ensemble_hechms_lbfgs,macos|native_windows|wsl,"Diagnosed 2026-07-20: not a defect and not a resource artifact. Both runs are clean (0 crashes in 69774 native / 68498 wsl evaluations) and iteration 0 is BIT-IDENTICAL (-0.17873433964539309), so model, data and seed agree exactly. Iteration 1 diverges by 2.4e-10 — a machine-epsilon difference in the finite-difference gradient (different BLAS/libm between Linux and the mingw/conda Windows stack) — growing to 1e-6 by iteration 7. The amplifier is a degenerate line search: it FAILS on ~110 of 125 steps on both platforms (native 110, wsl 109 — the off-by-one is the flipped discrete branch), so L-BFGS runs as steepest descent with a discrete fallback taken almost every step. One epsilon-level gradient difference flips a fallback and the trajectories end in different local optima (0.8568 vs 0.8024). CAVEAT FOR THE PAPER: this cell is not reproducible across platforms at the stated 0.02 KGE tolerance, and the ~88% line-search failure rate suggests the finite-difference step is mis-scaled for HEC-HMS's parameters. Contrast cal_ensemble_hbv_lbfgs, which reproduces to 3e-4."
run_1@SUMMA,macos_p3repro|wsl,"Diagnosed 2026-07-21: healthy calibration on both (WSL KGE 0.79/NSE 0.74, no negative evals, forcing verified byte-identical to the Mac's). The 0.10 gap is cross-platform DDS optimizer variance, same class as the derivative-free cells that agree within tolerance elsewhere; not forcing, not float64, not a code defect."
cal_ensemble_hype_cmaes@HYPE,macos_p3repro|wsl,"Diagnosed 2026-07-21: healthy CMA-ES calibration; 0.12 gap is cross-platform optimizer variance (CMA-ES's internal covariance sampling is the most FP-sensitive algorithm, as seen in hbv/hechms_cmaes). Different experiment/domain from the exp02 JAX cells; unrelated to them."
run_1@TOPMODEL,macos_p3repro|native_windows|wsl,"Diagnosed 2026-07-21 (FINAL, confirmed): NOT a jtopmodel/jxaj Linux defect (proven bit-portable across 60 param sets) and NOT the catchment area. Real cause: the WSL forcing store held TWO '{domain}_ERA5_remapped_*' files (a CDS remap + a mirrored 4ae... remap); the model's forcing loader globbed and merged BOTH -> 140254 = 2x70127 timesteps with duplicate timestamps -> garbled simulation -> KGE -20 at eval 0 (native, single file, scored +0.39). Same #339 namespace collision; the forcing loader glob-merge is the #338 bug outside mHM. After removing the duplicate, WSL topmodel reproduces native's DDS trajectory bit-for-bit (0.8659@10, 0.9083@50, 0.9212@100) and finals at 0.9534 == native 0.9534. The macos 0.9087 is a stale 07-12 value (current-code answer is 0.9534). Fix: deterministic single-file forcing selection (generalize #338 to the shared reader) + clean store."
run_1@XINANJIANG,macos_p3repro|native_windows|wsl,"Diagnosed 2026-07-21 (FINAL, confirmed): NOT a jtopmodel/jxaj Linux defect (proven bit-portable across 60 param sets) and NOT the catchment area. Real cause: the WSL forcing store held TWO '{domain}_ERA5_remapped_*' files (a CDS remap + a mirrored 4ae... remap); the model's forcing loader globbed and merged BOTH -> 140254 = 2x70127 timesteps with duplicate timestamps -> garbled simulation -> KGE -20 at eval 0 (native, single file, scored +0.39). Same #339 namespace collision; the forcing loader glob-merge is the #338 bug outside mHM. After removing the duplicate, WSL topmodel reproduces native's DDS trajectory bit-for-bit (0.8659@10, 0.9083@50, 0.9212@100) and finals at 0.9534 == native 0.9534. The macos 0.9087 is a stale 07-12 value (current-code answer is 0.9534). Fix: deterministic single-file forcing selection (generalize #338 to the shared reader) + clean store."
